시설명,업종명,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,운반용차량보유여부,저장시설보유여부,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
신천종합가스,기타(의료용 고압가스),대전광역시 대덕구 대화로 139 (대화동),대전광역시 대덕구 대화동 295-1,36.36510144,127.4046307,영업,Y,N,042-625-2808,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
한올바이오파마(주),일반종합도매,대전광역시 대덕구 상서당1길 43 (상서동),대전광역시 대덕구 상서동 400-3,36.42146341,127.4231263,영업,Y,N,042-932-5997,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
㈜대전동원약품,일반종합도매,대전광역시 대덕구 아리랑로 121 (읍내동),대전광역시 대덕구 읍내동 483-2,36.37496823,127.4183777,영업,Y,Y,042-622-9999,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
휴텍스팜(주),일반종합도매,"경기도 수원시 팔달구 효원로 18 (매산로3가,(5층))",경기도 수원시 팔달구 매산로3가 124,37.2719759,127.0089509266,폐업,Y,Y,070-7724-7733,경기도 수원시 팔달구보건소,2024-07-04,3740000,경기도 수원시
인영약품㈜,일반종합도매,"경기도 수원시 팔달구 매산로116번길 40, 4층 (매교동)",경기도 수원시 팔달구 매교동 77-69(4층),37.2695827,127.0140715,폐업,Y,Y,,경기도 수원시 팔달구보건소,2024-07-04,3740000,경기도 수원시
주식회사 젠스코리아,일반종합도매,경기도 수원시 영통구 법조로 25,경기도 수원시 영통구 하동 1016-1,37.28748089,127.0601784,영업,N,N,031-216-8607,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
㈜덴티움,일반종합도매,경기도 수원시 영통구 창룡대로256번길 76,경기도 수원시 영통구 이의동 1287-3,37.2952776,127.0406481,영업,N,N,031-888-5100,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
㈜제노스,일반종합도매,경기도 수원시 영통구 창룡대로256번길 76,경기도 수원시 영통구 이의동 1287-3,37.2952776,127.0406481,영업,N,N,080-050-2875,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
오케이팜,일반종합도매,경기도 수원시 영통구 청명로21번길 15,경기도 수원시 영통구 영통동 1013-16,37.24989992,127.079136,영업,N,N,031-274-2285,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
다원팜,일반종합도매,경기도 수원시 영통구 청명로21번길 15,경기도 수원시 영통구 영통동 1013-16,37.24989992,127.079136,영업,N,N,070-8845-7452,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
트리메디칼(주),일반종합도매,경기도 수원시 영통구 삼성로168번길 48,경기도 수원시 영통구 매탄동 413-3,37.25912076,127.0590468,영업,Y,Y,031-548-2688,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
㈜제넨바이오 수원지점,일반종합도매,경기도 수원시 영통구 청명로21번길 15,경기도 수원시 영통구 영통동 1013,37.24989992,127.079136,영업,N,N,031-203-7270,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
㈜에스케이팜,일반종합도매,경기도 수원시 영통구 청명로21번길 15,경기도 수원시 영통구 영통동 1013,37.24989992,127.079136,영업,N,N,031-895-4446,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
스타메디컬,일반종합도매,경기도 수원시 영통구 태장로54번길 66,경기도 수원시 영통구 망포동 650-146,37.23610877,127.0517887,영업,N,N,070-7543-2029,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
㈜메디시티,일반종합도매,경기도 수원시 영통구 광교로42번길 80,경기도 수원시 영통구 이의동 1358,37.28659939,127.0445229,영업,Y,Y,031-457-3600,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
젠스메디칼,일반종합도매,경기도 수원시 영통구 법조로 25,경기도 수원시 영통구 하동 1016-1,37.28748089,127.0601784,영업,N,N,031-216-8607,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
다온메디컬,일반종합도매,경기도 수원시 영통구 청명로21번길 15,경기도 수원시 영통구 영통동 1013-16,37.24989992,127.079136,영업,N,N,031-205-5511,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
㈜유스케어팜,원료의약품도매,경기도 수원시 영통구 청명남로 39,경기도 수원시 영통구 영통동 998-9,37.25322241,127.075711,영업,N,N,031-8081-1136,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
㈜휴네트,일반종합도매,경기도 수원시 영통구 청명로 7,경기도 수원시 영통구 영통동 1021-4,37.24841858,127.0788939,영업,N,N,070-4281-2981,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
삼성고압가스,의료용고압가스,경기도 수원시 영통구 신원로220번길 17,경기도 수원시 영통구 매탄동 506-1,37.25551924,127.0612638,영업,Y,Y,031-212-4187,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
부림종합가스,의료용고압가스,경기도 수원시 영통구 삼성로320번길 42,경기도 수원시 영통구 원천동 300-2,37.26652924,127.0702234,영업,Y,Y,031-214-8204,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
㈜앤시앤,일반종합도매,경기도 수원시 영통구 매영로35번길 9,경기도 수원시 영통구 매탄동 198-51,37.26987865,127.046761,영업,N,N,031-548-0785,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
㈜케이에스팜,일반종합도매,경기도 수원시 영통구 매봉로49번길 9,경기도 수원시 영통구 매탄동 1195,37.27241744,127.0527216,영업,N,N,031-548-2212,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
약손메디컬,일반종합도매,경기도 수원시 영통구 청명로21번길 15,경기도 수원시 영통구 영통동 1013-16,37.24989992,127.079136,영업,N,N,031-206-2766,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
㈜파이헬스케어,일반종합도매,경기도 수원시 영통구 웰빙타운로49번길 28,경기도 수원시 영통구 이의동 1204-6,37.30422314,127.0466298,영업,Y,Y,031-252-7267,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
주식회사 에스엠팜,일반종합도매,경기도 수원시 영통구 청명로21번길 15,경기도 수원시 영통구 영통동 1013-16,37.24989992,127.079136,영업,N,N,031-203-7330,경기도 수원시 영통구보건소,2024-07-04,3740000,경기도 수원시
원가스,기타(의료용 고압가스),대전광역시 대덕구 신탄진로115번안길 24 (신대동),대전광역시 대덕구 신대동 411-34,36.391825,127.417769,영업,Y,N,042-624-4001,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주)도원티엠에스,일반종합도매,"대전광역시 대덕구 동서대로1761번길 12, 대전약품 2층 208호 (송촌동)",대전광역시 대덕구 송촌동 293-26,36.35357665,127.4426694,영업,Y,N,,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
주식회사 바른팜,일반종합도매,"대전광역시 대덕구 비래서로 53, 2층 (비래동)",대전광역시 대덕구 비래동 141-21,36.35451049,127.4507562,영업,Y,N,042-716-1191,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주)리가스,기타(의료용 고압가스),"대전광역시 대덕구 문평동로48번길 142, (주)리가스 (문평동)",대전광역시 대덕구 문평동 108-1,36.45165014,127.4063408,영업,Y,N,042-934-6900,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
가온메딕스,일반종합도매,"대전광역시 대덕구 동춘당로44번길 12, 4층 (송촌동)",대전광역시 대덕구 송촌동 504-5,36.36281373,127.4448102,영업,Y,N,042-626-6167,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
덕암물산,일반종합도매,"대전광역시 대덕구 대화로 160, 308호 (대화동)",대전광역시 대덕구 대화동 289-1,36.36529463,127.4029311,영업,Y,N,,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
YG특수가스,기타(의료용 고압가스),대전광역시 대덕구 신탄진동로36번길 10 (신탄진동),대전광역시 대덕구 신탄진동 156-5,36.4475275,127.4333261,영업,Y,N,,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주)엔에스메디칼,일반종합도매,"대전광역시 대덕구 우암로 420, 2층 (비래동)",대전광역시 대덕구 비래동 149-15,36.35617247,127.4549082,영업,Y,N,042-710-2008,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
리드가스케미컬주식회사,기타(의료용 고압가스),대전광역시 대덕구 대화로52번길 163 (대화동),대전광역시 대덕구 대화동 142-1,36.37451322,127.4107205,영업,Y,N,042-627-1644,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
한국노블가스(주),기타(의료용 고압가스),대전광역시 대덕구 신일서로125번길 26 (신일동),대전광역시 대덕구 신일동 96,36.43388595,127.410993,영업,Y,N,042-932-3300,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주)세보에너지,기타(의료용 고압가스),"대전광역시 대덕구 벚꽃길 116-1 (상서동, 중부피스코(주))",대전광역시 대덕구 상서동 295-5,36.42825758,127.4221976,영업,Y,N,042-934-2121,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
중앙산업가스(주),기타(의료용 고압가스),"대전광역시 대덕구 대전로 1331 (읍내동, 중앙산업가스)",대전광역시 대덕구 읍내동 450-25,36.37269482,127.4198257,영업,Y,N,042-623-2201,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주)메디원,일반종합도매,"대전광역시 대덕구 대화로 160, 지원상가1동 209호 (대화동, 산업용재유통상가)",대전광역시 대덕구 대화동 289-1,36.36529463,127.4029311,영업,Y,N,042-670-7326,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
한국에너시스,기타(의료용 고압가스),대전광역시 대덕구 신탄진로583번길 27 (상서동),대전광역시 대덕구 상서동 189-28,36.43082092,127.4207468,영업,Y,N,042-931-9911,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주)케이비팜,일반종합도매,대전광역시 대덕구 동서대로1761번길 12 (송촌동),대전광역시 대덕구 송촌동 293-26,36.35357665,127.4426694,영업,Y,N,042-628-1033,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주)케이엘팜,일반종합도매,"대전광역시 대덕구 동서대로1761번길 12, 1,2층 (송촌동)",대전광역시 대덕구 송촌동 293-26,36.35357665,127.4426694,영업,Y,Y,042-632-6692,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
주식회사 해솔팜,일반종합도매,"대전광역시 대덕구 대덕대로1605번길 26, 1층 (석봉동)",대전광역시 대덕구 석봉동 200-16,36.45162239,127.426386,영업,Y,N,042-639-8801,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
주식회사스페셜가스,기타(의료용 고압가스),"대전광역시 대덕구 신탄진로315번길 68, 1,2동 (신대동)",대전광역시 대덕구 신대동 14-1,36.40640975,127.4228933,영업,Y,N,042-933-8411,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
신흥산업가스(주),기타(의료용 고압가스),대전광역시 대덕구 대화로52번길 162 (대화동),대전광역시 대덕구 대화동 158-2,36.37501541,127.4116706,영업,Y,N,042-625-9967,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
주식회사 바이팜,일반종합도매,"대전광역시 대덕구 송촌북로4번길 47-18, 3층 (송촌동)",대전광역시 대덕구 송촌동 475-2,36.36390654,127.4396346,영업,Y,Y,042-335-8880,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주) 삼상약품,일반종합도매,"대전광역시 대덕구 우암로 433, 5층 (비래동)",대전광역시 대덕구 비래동 146-4,36.35674429,127.4538583,영업,Y,Y,042-636-9849,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
엘피스팜(주),일반종합도매,"대전광역시 대덕구 동서대로 1783, 2층 (송촌동)",대전광역시 대덕구 송촌동 292-5,36.35514188,127.4435964,영업,Y,N,042-633-7015,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
대흥약품(주),일반종합도매,"대전광역시 대덕구 동서대로 1809, 2층 201호 (송촌동)",대전광역시 대덕구 송촌동 564-1,36.35699674,127.4449864,영업,Y,N,042-587-5522,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
㈜서전약품,일반종합도매,"대전광역시 대덕구 동서대로 1783, 3층 (송촌동)",대전광역시 대덕구 송촌동 292-5,36.35514188,127.4435964,영업,Y,N,042-638-0067,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주)넥스팜,일반종합도매,"대전광역시 대덕구 대전로 1383, 2층 (읍내동)",대전광역시 대덕구 읍내동 228-5,36.37737349,127.4207545,영업,Y,Y,042-622-4346,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주)우정메디칼,일반종합도매,"대전광역시 대덕구 동서대로1761번길 12, 203호 (송촌동)",대전광역시 대덕구 송촌동 293-26,36.35357665,127.4426694,영업,Y,N,042-628-0610,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
㈜대청약품,일반종합도매,"대전광역시 대덕구 송촌로 1, 우정빌딩 202호 (송촌동)",대전광역시 대덕구 송촌동 564-8,36.35619556,127.4444862,영업,Y,N,042-638-9800,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
(주)동신메디칼,일반종합도매,"대전광역시 대덕구 동서대로1777번길 1 (송촌동, 오뚜기빌딩 403호)",대전광역시 대덕구 송촌동 293-2,36.35414471,127.4431187,영업,Y,N,042-672-0062,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
주식회사 파이팜,일반종합도매,"서울특별시 영등포구대림로27나길8, 302호(대림동)",,37.49557467,126.8983849,영업,Y,Y,,서울특별시 영등포구,2024-08-01,3180000,서울특별시 영등포구
(주)헬로팜,일반종합도매,"경상남도 진주시 주약약골길 119, 1층 (주약동)",,35.16941753,128.0788556,영업,N,N,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
주식회사 가온약품,일반종합도매,"경상남도 진주시 진양호로 51, 2,3층 (판문동)",,35.16734588,128.0455331,영업,N,N,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
주식회사 지니메드,일반종합도매,"경상남도 진주시 도동천로 266, 3층 (하대동)",,35.1904679,128.1240203,영업,N,N,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
청솔팜,일반종합도매,"경상남도 진주시 집현면 하촌로 316, 1~2층",,35.21613371,128.0689741,영업,Y,Y,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
광혜건재한약품,한약도매,경상남도 진주시 진주성로88번길 10 (상봉동),,35.19750714,128.0768922,영업,Y,Y,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
동인당건재한약품,한약도매,경상남도 진주시 순환로 512 (평거동),,35.17062215,128.0630625,영업,Y,Y,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
보림건재한약품,한약도매,경상남도 진주시 진주성로 178 (상봉동),,35.20510705,128.0746633,영업,Y,Y,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
(주)서훈메디칼,일반종합도매,경상남도 진주시 장재새미길 9 (장재동),,35.20839915,128.1012106,영업,Y,Y,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
주식회사신진약품,일반종합도매,경상남도 진주시 진주성로178번길 12 (상봉동),,35.20614921,128.0752027,영업,Y,Y,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
(주)지엔메디텍,일반종합도매,"경상남도 진주시 말티고개로 34, 1,2층 (초전동)",,35.19933924,128.1051161,영업,Y,Y,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
촉석메디칼,일반종합도매,경상남도 진주시 정촌면 화개천로 74,,35.12410445,128.1015437,영업,N,N,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
(주)경남동원약품,일반종합도매,경상남도 진주시 큰들로114번길 7 (상평동),,35.17072311,128.1157611,영업,Y,Y,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
제일건재한약품,한약도매,경상남도 진주시 향교로18번길 8 (수정동),,35.19702376,128.0845778,영업,Y,Y,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
대일가스,기타,"강원특별자치도 동해시 동해대로 4491 (대구동, 대일가스)",강원특별자치도 동해시 대구동 1-2,37.4663205424,129.1481830447,영업,N,Y,033-521-1581,강원특별자치도 동해시청,2024-06-27,4211000,강원특별자치도 동해시
(주)동화산업가스,기타,강원특별자치도 동해시 공단2로 5 (구호동),강원특별자치도 동해시 구호동 242,37.4717812,129.1426491082,영업,N,Y,033-521-1818,강원특별자치도 동해시청,2024-06-27,4211000,강원특별자치도 동해시
(주)솔향약품,일반종합도매,"강원특별자치도 동해시 발한로 183-1, 2층 (발한동)",강원특별자치도 동해시 발한동 240-21,37.5473828122,129.1065649875,영업,N,Y,033-533-3577,강원특별자치도 동해시청,2024-06-27,4211000,강원특별자치도 동해시
이수메디케어,의약품도매업소,"전라남도 순천시 왕지4길 10, 4층 (왕지동)",전라남도 순천시 왕지동 872-6,34.96894789,127.5254012,영업,N,N,0507-1320-029,순천시보건소,2024-05-31,4820000,전라남도 순천시
진메디팜,의약품도매업소,"전라남도 순천시 북정3길 2, 3층 (매곡동)",전라남도 순천시 매곡동 419-1,34.96561401,127.4844384,영업,N,N,,순천시보건소,2024-05-31,4820000,전라남도 순천시
삼전약품,의약품도매업소,"전라남도 순천시 하대석길 43, 신광빌딩 3층 (연향동)",전라남도 순천시 연향동 1483-3 신광빌딩,34.94637963,127.5245987,영업,Y,Y,061-726-7115,순천시보건소,2024-05-31,4820000,전라남도 순천시
퍼스트메디컬,의약품도매업소,"전라남도 순천시 비봉2길 3-30, 3층 좌측호 (조례동)",전라남도 순천시 조례동 1734-2 3층 좌측호,34.97072958,127.5213784,영업,N,N,061-726-7765,순천시보건소,2024-05-31,4820000,전라남도 순천시
다온약품,의약품도매업소,"전라남도 순천시 서면 동산길 12, 가동 202호",전라남도 순천시 서면 동산리 375번지 2호,35.00499137,127.4802185,영업,N,N,061-726-1529,순천시보건소,2024-05-31,4820000,전라남도 순천시
(주)해양약품,의약품도매업소,"전라남도 순천시 해룡면 매안로 69, 2층",전라남도 순천시 풍덕동 243-16,34.93276428,127.5549536,영업,N,N,061-723-3663,순천시보건소,2024-05-31,4820000,전라남도 순천시
㈜호남약품,의약품도매업소,"전라남도 순천시 중앙로 399 (가곡동, 호남약품)",전라남도 순천시 가곡동 964번지 5호,34.98080532,127.4847853,영업,Y,Y,061-751-5300,순천시보건소,2024-05-31,4820000,전라남도 순천시
아이엘약품주식회사,의약품도매업소,"전라남도 순천시 서면 죽평길 4, 가동 1층 105-A호",전라남도 순천시 서면 동산리 939번지,34.99665666,127.4900716,영업,N,N,061-753-6116,순천시보건소,2024-05-31,4820000,전라남도 순천시
고려약품,의약품도매업소,전라남도 순천시 원가곡1길 12-10 (가곡동),전라남도 순천시 가곡동 134번지 1호,34.98529979,127.4859498,영업,Y,Y,061-752-2771,순천시보건소,2024-05-31,4820000,전라남도 순천시
건민약품(주),의약품도매업소,전라남도 순천시 서면 순천로 61,전라남도 순천시 서면 동산리 74번지 1호 제119~120호,34.9961723,127.4873756,영업,Y,Y,061-724-2517,순천시보건소,2024-05-31,4820000,전라남도 순천시
㈜세바 의약품,의약품도매업소,"전라남도 순천시 율산길 42, 3층 (연향동)",전라남도 순천시 연향동 1607-1 상가,34.94080888,127.5267541,영업,N,N,061-725-3672,순천시보건소,2024-05-31,4820000,전라남도 순천시
현대고수가스,기타,전북특별자치도 고창군 고수면 부곡길 107,,35.40463388,126.6735551,영업,Y,Y,063-564-3651,전북특별자치도 고창군,2024-06-26,4781000,전북특별자치도 고창군
바이오파마솔루션,일반종합도매,"대전광역시 대덕구 동서대로 1783, 서린약품 2층 203호 (송촌동)",대전광역시 대덕구 송촌동 292-5,36.35514188,127.4435964,영업,Y,N,,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
주식회사 다인약품,일반종합도매,"대전광역시 대덕구 우암로486번길 8, 2층 (비래동)",대전광역시 대덕구 비래동 117-17,36.35939935,127.4492714,영업,Y,Y,,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
아이씨엠에스,일반종합도매,"대전광역시 대덕구 대화로 160, 산업용재유통상가 1동 204호 (대화동)",대전광역시 대덕구 대화동 289-1,36.36529463,127.4029311,영업,Y,N,,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
주식회사씨메디,일반종합도매,"대전광역시 대덕구 덕암로 186, 2층 (평촌동)",대전광역시 대덕구 평촌동 535-10,36.43716027,127.422981,영업,Y,Y,042-719-1400,대전광역시 대덕구청 보건소,2024-07-04,3680000,대전광역시 대덕구
대중가스,기타,경상남도 함양군 함양읍 기동길 53,경상남도 함양군 함양읍 신천리 211,35.525671,127.740315,영업,Y,N,055-963-7117,경상남도 함양군보건소,2024-06-30,5460000,경상남도 함양군
한들가스,기타,경상남도 함양군 함양읍 함양로 1399,경상남도 함양군 함양읍 신천리 51-1,35.5404917547,127.7407374987,영업,Y,N,055-963-8814,경상남도 함양군보건소,2024-06-30,5460000,경상남도 함양군
함양가스,기타,경상남도 함양군 함양읍 함양로 1419,경상남도 함양군 함양읍 신천리 16-3,35.541918,127.7413679854,영업,Y,N,055-962-3104,경상남도 함양군보건소,2024-06-30,5460000,경상남도 함양군
함창한약도매상,한약도매,경상남도 함양군 함양읍 용평5길 26,경상남도 함양군 함양읍 용평리 723-26,35.517539004,127.728773,영업,N,N,,경상남도 함양군보건소,2024-06-30,5460000,경상남도 함양군
제이제이메디칼,일반종합도매,경상남도 진주시 금산면 월아산로 1340-14,,35.18460407,128.1586768,영업,N,N,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
근우약품(주),일반종합도매,"경상남도 진주시 개양로 100, 105동 1층 103호 (가좌동, 스카이 시티프라디움)",,35.15507463,128.1165239,영업,N,N,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
안심팜,일반종합도매,경상남도 진주시 북장대로64번길 15(상봉동),,35.19617956,128.0746656,영업,Y,Y,,경상남도 진주시청,2024-06-28,5310000,경상남도 진주시
(주)서우팜,일반종합도매,"서울특별시 영등포구가마산로 364,지하1층 102호 103호(대림동)",,37.50094613,126.8990356,영업,Y,Y,02-6672-3211,서울특별시 영등포구,2024-08-01,3180000,서울특별시 영등포구
제이유메딕스,일반종합도매,"부산광역시 기장군 정관읍 정관로 579, 스타빌딩 9층 905,906호",부산광역시 기장군 정관읍 매학리 717-1,35.32137251,129.1771781,영업,N,N,051-728-7027,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
이스트팜,일반종합도매,"부산광역시 기장군 정관읍 정관2로 9, 215동 B105호 (이지 더원 2차 아파트)",부산광역시 기장군 정관읍 모전리 735,35.33328925,129.1628366,영업,N,N,051-728-5406,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
(주)메디베스트,일반종합도매,"부산광역시 기장군 기장읍 차성로 382, 해운약품주식회사 3층 일부호",부산광역시 기장군 기장읍 교리 330-10,35.25151695,129.2141416,영업,N,N,051-723-1777,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
정관약품,일반종합도매,"부산광역시 기장군 정관읍 달산길 6-8, 1층",부산광역시 기장군 정관읍 매학리 790-3,35.31892384,129.1812394,영업,N,N,051-727-1901,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
(주)천마산업가스,일반종합도매,부산광역시 기장군 정관읍 용수공단1길 31,부산광역시 기장군 정관읍 용수리 1031-4,35.31720218,129.1827658,영업,N,N,051-728-3355,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
차성종합가스,일반종합도매,부산광역시 기장군 일광읍 이화로 94,부산광역시 기장군 일광읍 이천리 708-4,35.273667806,129.230496389,영업,N,N,051-723-3100,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
운곡한약품,한약도매,부산광역시 기장군 정관읍 용수공단2길 64-4 (효성전기(주)),부산광역시 기장군 정관읍 용수리 1047-3,35.32458867,129.1621109,영업,N,N,051-441-3136,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
하니온 허브,한약도매,부산광역시 기장군 정관읍 용수공단1길 36,부산광역시 기장군 정관읍 용수리 1031-5,35.32775702,129.1619745,영업,N,N,051-000-0000,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
(주)현주케어,일반종합도매,부산광역시 기장군 기장읍 차성로441번길 15,부산광역시 기장군 기장읍 교리 242,35.25561171,129.2167059,영업,N,N,051-724-4477,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
선경메디팜,일반종합도매,"부산광역시 기장군 기장읍 차성로190번길 11, 2층",부산광역시 기장군 기장읍 대라리 189-6,35.23410757,129.2138168,영업,N,N,051-747-1196,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
세종약품 주식회사,일반종합도매,부산광역시 기장군 일광읍 일광로 111-10,부산광역시 기장군 일광읍 이천리 750-4,35.26744531,129.2330795877,영업,N,N,051-723-7251,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
(주)금호약품,일반종합도매,부산광역시 기장군 기장읍 차성로412번길 18,부산광역시 기장군 기장읍 교리 332-6,35.253076,129.2151297,영업,N,N,051-502-6208,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
정원약품㈜,일반종합도매,부산광역시 기장군 기장읍 배산로8번길 56,부산광역시 기장군 기장읍 서부리 405,35.25033185,129.2098916,영업,N,N,051-784-7744,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
해운약품㈜,일반종합도매,"부산광역시 기장군 기장읍 차성로 382, 해운약품주식회사 404호",부산광역시 기장군 기장읍 교리 330-10,35.25151695,129.2141416,영업,N,N,051-722-4901,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
(주)에이치팜,일반종합도매,"부산광역시 기장군 기장읍 차성로 204-1, 301호 (우원빌라)",부산광역시 기장군 기장읍 대라리 175-7,35.23568284,129.2134713,영업,N,N,051-000-0000,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
제이와이치과쌤,일반종합도매,"부산광역시 기장군 기장읍 차성로412번길 18, 1층",부산광역시 기장군 기장읍 교리 332-6,35.253076,129.2151297,영업,N,N,051-000-0000,부산광역시 기장군청,2024-08-05,3400000,부산광역시 기장군
주식회사 영동약품,일반종합도매,"대전광역시 동구 물류로13번길 25, 206호 (구도동)",대전광역시 동구 구도동 359,36.2720514,127.470445,영업,Y,N,,대전광역시 동구청,2024-08-01,3640000,대전광역시 동구
(주)지오메디칼,일반종합도매,"대전광역시 동구 한밭대로 1308, 5층 (용전동)",대전광역시 동구 용전동 72-10,36.35228142,127.4400025,영업,Y,Y,042-623-0630,대전광역시 동구청,2024-08-01,3640000,대전광역시 동구
주식회사 다온메디칼,일반종합도매,"대전광역시 동구 물류로13번길 25, 203호 (구도동)",대전광역시 동구 구도동 359,36.2720514,127.470445,영업,Y,N,,대전광역시 동구청,2024-08-01,3640000,대전광역시 동구
주식회사 굿인팜,일반종합도매,"대전광역시 동구 물류로13번길 25, 207호 (구도동)",대전광역시 동구 구도동 359,36.2720514,127.470445,영업,Y,N,,대전광역시 동구청,2024-08-01,3640000,대전광역시 동구
보국주식회사,일반종합도매,"대전광역시 동구 물류로13번길 25, 204호 (구도동)",대전광역시 동구 구도동 359,36.2720514,127.470445,영업,Y,N,,대전광역시 동구청,2024-08-01,3640000,대전광역시 동구
